,Unnamed: 0,Client: Create Date/Time,Client's City,zipcode,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
137,14,12/18/2017 13:44:52.788225 MST,ALBANY,12209,ALBANY,Albany,BT-4500.4500-700,B,BT,42.640813,-73.7856
138,15,12/18/2017 13:44:52.788225 MST,ALBANY,12209,ALBANY,Albany,BH-3900.3100,B,BH,42.640813,-73.7856
139,16,12/18/2017 13:44:52.788225 MST,ALBANY,12209,ALBANY,Albany,BH-3900.3100,B,BH,42.640813,-73.7856
140,33,12/14/2017 12:05:37.424671 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
141,78,12/11/2017 10:11:13.043975 MST,ALBANY,12209,ALBANY,Albany,YF-3000.7740,Y,YF,42.640813,-73.7856
142,99,11/03/2017 12:37:12.758286 MDT,ALBANY,12209,ALBANY,Albany,DF-7000.5500,D,DF,42.640813,-73.7856
143,148,08/29/2017 19:54:54.263634 MDT,ALBANY,12209,ALBANY,Albany,BH-0500,B,BH,42.640813,-73.7856
144,155,10/24/2017 12:49:39.651788 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
145,199,09/29/2017 12:28:25.160779 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
146,253,08/28/2017 13:57:35.422535 MDT,ALBANY,12209,ALBANY,Albany,BH-3900.3100,B,BH,42.640813,-73.7856
147,254,08/28/2017 13:57:35.422535 MDT,ALBANY,12209,ALBANY,Albany,BH-3900.3100,B,BH,42.640813,-73.7856
148,255,08/28/2017 13:57:35.422535 MDT,ALBANY,12209,ALBANY,Albany,BH-3900.3100,B,BH,42.640813,-73.7856
149,256,08/28/2017 13:57:35.422535 MDT,ALBANY,12209,ALBANY,Albany,BH-3900.3100,B,BH,42.640813,-73.7856
150,257,08/28/2017 13:57:35.422535 MDT,ALBANY,12209,ALBANY,Albany,BM-6500.1500-250,B,BM,42.640813,-73.7856
151,258,08/28/2017 13:57:35.422535 MDT,ALBANY,12209,ALBANY,Albany,BM-6500.1500-250,B,BM,42.640813,-73.7856
152,259,08/28/2017 13:57:35.422535 MDT,ALBANY,12209,ALBANY,Albany,BM-6500.1500-250,B,BM,42.640813,-73.7856
153,260,08/28/2017 13:57:35.422535 MDT,ALBANY,12209,ALBANY,Albany,BM-6500.1500-250,B,BM,42.640813,-73.7856
154,306,04/13/2017 07:57:19.328895 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
155,326,05/05/2017 07:52:16.184022 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
156,337,05/03/2017 18:55:06.127535 MDT,ALBANY,12209,ALBANY,Albany,BH-0500,B,BH,42.640813,-73.7856
157,346,04/06/2017 16:03:31.301714 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
158,365,06/02/2017 12:23:32.08816 MDT,ALBANY,12209,ALBANY,Albany,TI-1800.3000,T,TI,42.640813,-73.7856
159,382,04/05/2017 12:50:50.851842 MDT,ALBANY,12209,ALBANY,Albany,DT-8800,D,DT,42.640813,-73.7856
160,395,03/29/2017 14:48:26.500916 MDT,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
161,400,04/04/2017 13:39:21.53051 MDT,ALBANY,12209,ALBANY,Albany,DT-8800,D,DT,42.640813,-73.7856
162,405,03/09/2017 16:25:31.031477 MST,ALBANY,12209,ALBANY,Albany,TJ-3000.1500,T,TJ,42.640813,-73.7856
163,407,03/28/2017 10:19:25.110912 MDT,ALBANY,12209,ALBANY,Albany,ND-2000.1500-160,N,ND,42.640813,-73.7856
164,423,03/09/2017 09:58:03.149262 MST,ALBANY,12209,ALBANY,Albany,DT-8800,D,DT,42.640813,-73.7856
165,429,03/08/2017 13:16:06.746606 MST,ALBANY,12209,ALBANY,Albany,DT-8800,D,DT,42.640813,-73.7856
166,493,02/27/2017 14:43:42.009713 MST,ALBANY,12209,ALBANY,Albany,DT-8800,D,DT,42.640813,-73.7856
167,497,02/13/2017 12:34:37.497973 MST,ALBANY,12209,ALBANY,Albany,TJ-3200.2500,T,TJ,42.640813,-73.7856
168,507,02/15/2017 12:14:08.43631 MST,ALBANY,12209,ALBANY,Albany,DT-8800,D,DT,42.640813,-73.7856
169,578,02/07/2017 14:11:30.433269 MST,ALBANY,12209,ALBANY,Albany,DT-8800,D,DT,42.640813,-73.7856
170,579,02/07/2017 10:42:53.018582 MST,ALBANY,12209,ALBANY,Albany,DT-8800,D,DT,42.640813,-73.7856
171,633,01/12/2017 07:13:40.725921 MST,ALBANY,12209,ALBANY,Albany,DT-8800,D,DT,42.640813,-73.7856
172,653,01/19/2017 09:32:45.425703 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
173,664,01/06/2017 07:53:31.454637 MST,ALBANY,12209,ALBANY,Albany,BH-0500,B,BH,42.640813,-73.7856
174,704,12/14/2017 16:19:55.978982 MST,ALBANY,12209,ALBANY,Not Applicable,,,,42.640813,-73.7856
175,721,02/21/2017 11:38:53.740109 MST,ALBANY,12209,ALBANY,Albany,DT-10578,D,DT,42.640813,-73.7856
176,723,02/21/2017 10:33:15.51381 MST,ALBANY,12209,ALBANY,Albany,DT-10580,D,DT,42.640813,-73.7856
177,735,02/17/2017 14:20:58.582784 MST,ALBANY,12209,ALBANY,Albany,DT-10592,D,DT,42.640813,-73.7856
178,750,02/27/2017 15:21:34.53479 MST,ALBANY,12209,ALBANY,Albany,DT-10608,D,DT,42.640813,-73.7856
179,757,02/23/2017 16:46:02.706645 MST,ALBANY,12209,ALBANY,Albany,DT-10615,D,DT,42.640813,-73.7856
180,763,02/22/2017 14:40:37.659653 MST,ALBANY,12209,ALBANY,Albany,DT-10621,D,DT,42.640813,-73.7856
181,770,02/16/2017 08:30:52.072406 MST,ALBANY,12209,ALBANY,Albany,DT-10628,D,DT,42.640813,-73.7856
182,781,02/27/2017 14:23:05.439228 MST,ALBANY,12209,ALBANY,Albany,DT-10640,D,DT,42.640813,-73.7856
183,788,02/13/2017 15:28:16.229534 MST,ALBANY,12209,ALBANY,Albany,DT-10650,D,DT,42.640813,-73.7856
184,805,02/03/2017 17:00:59.961969 MST,ALBANY,12209,ALBANY,Albany,DT-10667,D,DT,42.640813,-73.7856
185,808,02/03/2017 11:37:23.027353 MST,ALBANY,12209,ALBANY,Albany,DT-10670,D,DT,42.640813,-73.7856
186,812,02/02/2017 15:04:19.527531 MST,ALBANY,12209,ALBANY,Albany,DT-10674,D,DT,42.640813,-73.7856
187,818,01/31/2017 15:51:23.10555 MST,ALBANY,12209,ALBANY,Albany,DT-10680,D,DT,42.640813,-73.7856
188,836,01/31/2017 11:19:08.355862 MST,ALBANY,12209,ALBANY,Albany,DT-10698,D,DT,42.640813,-73.7856
189,844,02/07/2017 15:35:38.498798 MST,ALBANY,12209,ALBANY,Albany,DT-10706,D,DT,42.640813,-73.7856
190,852,02/07/2017 09:28:28.399174 MST,ALBANY,12209,ALBANY,Albany,DT-10714,D,DT,42.640813,-73.7856
191,863,02/08/2017 09:39:46.328093 MST,ALBANY,12209,ALBANY,Albany,DT-10725,D,DT,42.640813,-73.7856
192,868,01/30/2017 14:52:59.837893 MST,ALBANY,12209,ALBANY,Albany,DT-10730,D,DT,42.640813,-73.7856
193,881,01/27/2017 11:06:26.792724 MST,ALBANY,12209,ALBANY,Albany,DT-10743,D,DT,42.640813,-73.7856
194,888,01/26/2017 13:49:09.825986 MST,ALBANY,12209,ALBANY,Albany,DT-10750,D,DT,42.640813,-73.7856
195,900,01/24/2017 11:30:07.097655 MST,ALBANY,12209,ALBANY,Albany,DT-10762,D,DT,42.640813,-73.7856
196,926,01/18/2017 12:55:20.272372 MST,ALBANY,12209,ALBANY,Albany,DT-10788,D,DT,42.640813,-73.7856
197,936,01/17/2017 10:39:18.582713 MST,ALBANY,12209,ALBANY,Albany,DT-10798,D,DT,42.640813,-73.7856
198,940,01/17/2017 08:51:35.670605 MST,ALBANY,12209,ALBANY,Albany,DT-10802,D,DT,42.640813,-73.7856
199,954,04/18/2017 13:52:34.512492 MDT,ALBANY,12209,ALBANY,Albany,DT-11054,D,DT,42.640813,-73.7856
