,Client: Create Date/Time,Client's City,Client's Zip,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
11941,02/02/2016 13:11:09.940339 MST,SCHENECTADY,12302,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11942,01/21/2016 11:36:13.431521 MST,SCHENECTADY,12307,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11943,02/03/2016 11:11:48.041542 MST,SCHENECTADY,12303,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11944,02/03/2016 13:01:34.052573 MST,SCHENECTADY,12302,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11945,02/14/2016 11:11:47.316509 MST,SCHENECTADY,12309,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11946,02/14/2016 11:58:01.29591 MST,SCHENECTADY,12303,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11947,11/21/2016 11:15:46.872271 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11948,02/14/2016 13:27:32.159612 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11949,02/22/2016 12:57:49.182453 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11950,02/15/2016 09:13:41.634812 MST,SCHENECTADY,12303,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11951,11/21/2016 12:11:46.305204 MST,SCHENECTADY,12306,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11952,02/23/2016 11:24:10.529966 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11953,02/23/2016 10:31:25.636421 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11954,02/22/2016 14:22:04.751502 MST,SCHENECTADY,12306,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11955,02/22/2016 14:27:57.163813 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11956,02/09/2016 11:48:17.829518 MST,SCHENECTADY,12302,SCHENECTADY,Schenectady,BH-7000.4600-700,B,BH,42.8017434,-73.927624
11957,02/09/2016 12:11:47.825761 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11958,02/09/2016 12:55:58.671399 MST,SCHENECTADY,12307,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11959,02/23/2016 10:40:15.371843 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11960,02/09/2016 14:02:58.288904 MST,SCHENECTADY,12307,SCHENECTADY,Schenectady,NL-6000.2000,N,NL,42.8017434,-73.927624
11961,02/19/2016 09:35:40.322841 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11962,02/09/2016 16:00:59.959088 MST,SCHENECTADY,12305,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11963,02/09/2016 16:08:58.598482 MST,SCHENECTADY,12306,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11964,02/10/2016 07:20:10.723257 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11965,02/19/2016 11:15:03.269061 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11966,02/10/2016 10:07:43.902986 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11967,02/16/2016 12:56:01.697625 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11968,02/11/2016 08:07:05.106834 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11969,02/11/2016 08:13:16.649491 MST,SCHENECTADY,12303,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11970,02/11/2016 14:39:17.766569 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11971,02/22/2016 10:18:38.047946 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,DT-8800,D,DT,42.8017434,-73.927624
11972,02/17/2016 08:16:52.715919 MST,SCHENECTADY,12303,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11973,02/17/2016 08:35:09.064547 MST,SCHENECTADY,12303,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11974,02/17/2016 08:42:39.589992 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11975,02/22/2016 11:10:13.621358 MST,SCHENECTADY,12306,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11976,02/22/2016 11:21:43.758949 MST,SCHENECTADY,12309,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11977,02/17/2016 13:14:03.921437 MST,SCHENECTADY,12309,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11978,02/24/2016 11:53:16.800028 MST,SCHENECTADY,12305,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11979,02/24/2016 11:58:16.75397 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11980,02/24/2016 12:31:52.660787 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11981,02/24/2016 12:38:14.812846 MST,SCHENECTADY,12307,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11982,03/02/2016 07:07:20.412321 MST,SCHENECTADY,12303,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11983,02/25/2016 07:58:38.145514 MST,SCHENECTADY,12304,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
